TIMESTAMP,ContextTokens,GeneratedTokens,H100PCIe___Llama3.1_8B,H100PCIe___Llama3.1_70B,H100SXM___Llama3.1_8B,H100SXM___Llama3.1_70B
0.000000,2162,5,76.261023,667.283951,58.294574,510.077519
7.405000,2399,6,84.620811,740.432099,64.684867,565.992585
12.384000,76,15,2.680776,23.456790,2.049208,17.930570
27.915000,2376,1,83.809524,733.333333,64.064712,560.566229
73.960000,7670,8,270.546737,2367.283951,206.808224,1809.571958
74.503000,6385,1,225.220459,1970.679012,172.160431,1506.403775
74.583000,2951,33,104.091711,910.802469,79.568588,696.225143
133.777000,931,67,32.839506,287.345679,25.102797,219.649478
151.896000,65,16,2.292769,20.061728,1.752612,15.335356
252.299000,1243,14,43.844797,383.641975,33.515335,293.259184
